rule_id,enabled,domain,group_axis,group_value,f0_condition,f0_lower_hz,f0_upper_hz,bucket_scheme,signal_name,target_direction,action_family,strength_label,alpha_default,alpha_max,confidence,priority,source_status,notes
stage0_singing_slow_forte_high_band_feminine_brightness_up_v1,yes,singing,coarse_style,slow_forte,high_band,326.899,,median_split,mean_log_centroid_minus_log_f0,feminine,brightness_up,high,0.300,0.420,high,34,active_candidate,高区正向最强之一，delta=+0.172。
stage0_singing_straight_high_band_feminine_brightness_up_v1,yes,singing,coarse_style,straight,high_band,327.359,,median_split,mean_log_centroid_minus_log_f0,feminine,brightness_up,high,0.300,0.420,high,34,active_candidate,高区正向稳定，delta=+0.169。
stage0_singing_vibrato_high_band_feminine_brightness_up_v1,yes,singing,coarse_style,vibrato,high_band,321.534,,median_split,mean_log_centroid_minus_log_f0,feminine,brightness_up,high,0.300,0.420,high,34,active_candidate,高区正向稳定，delta=+0.163。
stage0_singing_fast_forte_high_band_feminine_brightness_up_v1,yes,singing,coarse_style,fast_forte,high_band,273.055,,median_split,mean_log_centroid_minus_log_f0,feminine,brightness_up,medium_high,0.240,0.340,high,33,active_candidate,高区正向稳定，delta=+0.168。
stage0_singing_straight_low_band_masculine_brightness_down_v1,yes,singing,coarse_style,straight,low_band,,327.359,median_split,mean_log_centroid_minus_log_f0,masculine,brightness_down,medium,0.180,0.280,high,32,active_candidate,低区负向较强，delta=-0.154。
stage0_singing_vibrato_low_band_masculine_brightness_down_v1,yes,singing,coarse_style,vibrato,low_band,,321.534,median_split,mean_log_centroid_minus_log_f0,masculine,brightness_down,medium,0.180,0.280,high,32,active_candidate,低区负向较强，delta=-0.146。
stage0_singing_fast_piano_high_band_feminine_brightness_up_v1,yes,singing,coarse_style,fast_piano,high_band,285.050,,median_split,mean_log_centroid_minus_log_f0,feminine,brightness_up,medium,0.180,0.280,medium,22,active_candidate,高区为正但略弱于 fast_forte。
stage0_singing_slow_piano_high_band_feminine_brightness_up_v1,yes,singing,coarse_style,slow_piano,high_band,330.570,,median_split,mean_log_centroid_minus_log_f0,feminine,brightness_up,medium,0.180,0.280,medium,22,active_candidate,高区正向稳定，但低于 slow_forte / straight / vibrato。
stage0_singing_slow_forte_low_band_masculine_brightness_down_v1,yes,singing,coarse_style,slow_forte,low_band,,326.899,median_split,mean_log_centroid_minus_log_f0,masculine,brightness_down,weak,0.120,0.180,medium,21,active_candidate,低区为负，建议仅保守开启。
stage0_singing_slow_piano_low_band_masculine_brightness_down_v1,yes,singing,coarse_style,slow_piano,low_band,,330.570,median_split,mean_log_centroid_minus_log_f0,masculine,brightness_down,weak,0.120,0.180,medium,21,active_candidate,低区为负但幅度中等，适合保守男性向候选。
